,Star Name,Distance,Mass,Radius,Gravity
39,Avior,0630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
40,Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.72680665254333
41,Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
42,Atria,0390,1.3923e+31,64004400000.0,0.22682941046987445
43,Alhena,0109,5.5692e+30,2295810000.0,70.51915997124031
44,Peacock,0180,1.17351e+31,3339360000.0,70.23385645015132
45,Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.26943965552645
46,Mirzam,0500,2.68515e+31,6957000000.0,37.02633679704249
47,Polaris,0430,1.07406e+31,27132300000.0,0.973736667903813
48,Alphard,0180,5.967e+30,34785000000.0,0.32912299375148873
49,Scheat,0196,4.1769e+30,66091500000.0,0.0638188630543053
50,Almaaz,0653,2.9835e+31,97398000000.0,0.20989986846395964
51,Rasalgethi,0360,5.5692e+30,194796000000.0,0.009795327194984781
52,Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
53,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
54,Ran,010.48,1.6309799999999997e+30,514818000.0,410.70254272616984
55,V382 Carinae,"08,900",3.978e+31,337414500000.0,0.023319728894426524
56,Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.6232603088337749
57,Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.005573726798954914
58,Titawin,044.25,2.52603e+30,1029636000.0,159.02202111653529
59,P Cygni,"05,545",5.967e+31,52873200000.0,1.4245281931764575
60,61 Cygni,011.41,1.3923e+30,462640500.0,434.14192553949175
61,Polaris Australis,0281,3.16251e+30,2601918000.0,31.176754176608036
62,R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.032266960171714584
63,54 Piscium,036.1,1.51164e+30,653958000.0,235.9037604224493
64,Mira,0300,2.3867999999999998e+30,257409000000.0,0.00240411244522636
65,Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.685493563031
66,HD 140283,0190,?,973979999.9999999,632.685493563031
67,II Pegasi,0130,1.5912e+30,2365380000.0,18.98056480689093
68,Pistol Star,"025,000",1.989e+32,222624000000.0,0.2678409779878652
69,S Doradus,"0169,000",4.7736e+31,264366000000.0,0.04558490218164664
70,Barnard's Star,05.98,2.7846e+29,139140000.0,959.9420651085089
71,Luhman 16,06.52,7.956e+28,?,959.9420651085089
72,Proxima Centauri,04.25,2.3868e+29,104355000.0,1462.7688611177277
73,KIC 8462852,"01,470",2.84427e+30,1099206000.0,157.10819615734286
74,R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,77.67388361648091
75,Melnick 42,"0163,000",3.75921e+32,14679270000.000002,116.4324060911917
76,WR 102,"018,134",3.7791e+31,271323000.0,34261.104981800825
77,VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,75.29335961731135
78,YBP 1194,"02,772",2.00889e+30,688743000.0,282.6363157577489
79,Gliese 1214,047.5,3.1824e+29,146097000.0,995.0808579032163
80,VB 10,018.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
81,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,1695.1357895765334
82,2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2595.841171196618
83,WISE 0855âˆ’0714,07.27,5.967e+27,?,2595.841171196618
84,Icarus,"014,400,000,000",6.5637e+31,?,2595.841171196618
